"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2035,5458059.14367601,4376646.06434438,6850439.0477259,4882664.30185863,4386777.93691917,5184753.47651055,6850439.0477259,5224525.148046,6239303.14277615,4683818.52093759,4508473.25073282,6562586.38790348,6027317.69166033,5137440.6136505,5279945.38365692,4376646.06434438,5594546.63959844,4949091.4281867,6569905.82249874,6041157.98698922,6074247.75095297,4853003.41699643,4575216.25323002,5254273.27166578,6058809.34032691,6091185.23870006,5919282.39500813,5126068.08102439
2036,6003937.77975946,4822164.53277417,7532396.59638934,5374022.80368054,4833170.63258994,5708373.21362768,7532396.59638934,5748282.03206699,6863422.28642425,5154474.75389177,4958530.9765989,7222559.7253183,6635490.0882339,5647068.34282081,5791020.79633832,4822164.53277417,6151582.08863752,5424407.19954875,7230793.56923153,6650446.37207329,6673518.39630084,5341692.76677619,5041215.12629296,5784382.58791144,6663340.06890649,6697612.73433571,6502715.68863979,5645761.11457719
2037,6560684.57339285,5278145.11711212,8226924.41521473,5875730.1472093,5290011.07208365,6243447.55057086,8226924.41521473,6281683.586643,7499932.48503517,5634642.28111427,5417775.99077195,7895865.0664496,7256920.88206963,6166779.37683232,6309942.62586293,5278145.11711212,6719410.28529012,5906778.96221218,7905040.44432455,7272961.45405585,7283559.43708871,5840756.79755986,5518173.55212636,6325829.77342422,7279616.08044741,7315223.17798263,7095830.74656561,6176133.02677423
2038,7127350.35389894,5743802.35065559,8932747.05973966,6386994.85492697,5756509.05834806,6789088.53482239,8932747.05973966,6823722.64789154,8147769.57314827,6123542.63034506,5885462.65131913,8581278.16719706,7890738.83742581,6695788.98939507,6835822.74196754,5743802.35065559,7297068.80251287,6395347.1497495,8591414.12259527,7907828.88346954,7903247.71427152,6349412.44508949,6005401.89328302,6877717.07671139,7906528.93670203,7942879.57488252,7697473.14306104,6716171.00796311
2039,7703077.65214952,6218408.90893416,9648725.33602732,6907051.84045622,6231937.25052477,7344505.28068252,9648725.33602732,7373486.06525089,8805934.93231976,6620480.48607305,6360917.50967298,9277646.33156137,8536268.8614895,7233395.09401894,7367888.44895668,6218408.90893416,7883690.02367535,6889335.62566932,9288754.57542554,8554362.48036353,8531591.77972248,6866903.83304456,6502261.39269413,7439242.70224123,8543064.94406348,8579551.67906587,8306584.5418029,7264951.38000154
2040,8287079.81057832,6701300.18096338,10373830.0702109,7435201.23772441,6715630.51686375,7908960.3610771,10373830.0702109,7930140.19816607,9473495.4274931,7124828.17492117,6843531.64243169,9983930.99869634,9192811.11000161,7778929.589616,7905447.45310679,6701300.18096338,8478475.16030252,7388055.21665232,9996016.95933515,9211873.45696765,9167692.31579284,7392547.90073082,7008160.4389261,8009676.49746136,9188287.8268625,9224321.23172212,8922205.43096502,7821645.86746737
2041,8878624.89932293,7191852.00629188,11107127.0331405,7970804.79495281,7206970.16867717,8481760.52669674,11107127.0331405,8492911.22019732,10149593.5834796,7636022.26256703,7332738.79949555,10699174.7476746,9859608.79369566,8331767.14529963,8447878.34338799,7191852.00629188,9080682.27533202,7890894.75197804,10712238.2262775,9879603.40724106,9810711.48436224,7925688.88698767,7522554.47157997,8588347.39048211,9841329.83226246,9876381.15027171,9543484.60110809,8385496.57963392
2042,9477031.4414059,7689494.22682796,11847749.9541411,8513232.87462464,7705380.93675689,9062254.76158598,11847749.9541411,9061070.59220847,10833452.9315791,8153552.07495858,7828004.69592682,11422500.7759546,10535935.8841988,8891320.90788668,8994645.55830489,7689494.22682796,9689621.82408883,8397296.82029742,11436536.646935,10556825.1424256,10459886.7235545,8465701.9771944,8044860.55125621,9174643.99352819,10501369.8658726,10534989.4697246,10169646.6044206,8955810.24089497
2043,10081662.9329158,8193696.34258932,12594883.6379936,9061871.41416015,8210336.94289082,9649830.48859659,12594883.6379936,9633955.84515056,11524325.0036596,8676935.98820153,8328814.17534769,12153101.9992396,11221119.6317837,9457032.35854408,9545262.13693261,8193696.34258932,10304630.4827141,8906757.04123351,12168100.9719569,11242861.1833358,11114547.5385013,9011980.51901342,8574523.29641411,9767999.17430934,11167634.5609031,11199450.907799,10799976.5272512,9531945.15437442
2044,10691922.6963978,8703978.19849002,13347789.7894537,9616150.04093319,8721353.72525549,10243907.5064897,13347789.7894537,10210960.2358972,12221501.213921,9205709.23009369,8834670.3977657,12890233.5068918,11914520.148342,10028370.8073309,10099283.3237463,8703978.19849002,10925042.8065313,9418821.43416232,12906182.6575899,11937076.768828,11774084.9152541,9563963.69672364,9110990.0873079,10367877.7233005,11839396.3624031,11869113.6775279,11433787.3042319,10113301.8514743
2045,11307249.5298944,9219883.21376199,14105777.8933886,10175532.0264712,9237975.12693846,10843947.0397168,14105777.8933886,10791522.3993461,12924322.0307033,9739433.20173168,9345094.68535924,13633193.2436139,12615532.9305293,10604829.2075868,10656282.8416604,9219883.21376199,11550279.1038969,9933076.64832701,13650076.5808808,12638869.5130566,12437925.6409531,10121118.0666112,9653724.29741779,10973767.3056443,12515983.2576661,12543330.3167474,12070444.8178719,10699316.8574792
2046,11927110.5773495,9740975.42715305,14868212.2320059,10739518.4201626,9759765.37159339,11449430.1866159,14868212.2320059,11375117.3831238,13632178.7310491,10277684.4750288,9859610.92248237,14381328.0448971,13323578.2163049,11185934.4286464,11215863.7708974,9740975.42715305,12179765.9313042,10449137.0215149,14399127.0382097,13347660.5019242,13105538.7957969,10682938.8505375,10202221.9163856,11585169.481585,13196764.4431275,13221450.1890402,12709357.0514395,11289435.6029103
2047,12550991.6017513,10266842.3091118,15634500.1205014,11307633.6711772,10286313.2758295,12059829.5780014,15634500.1205014,11961221.785547,14344500.3651201,10820029.012156,10377724.6300334,15134016.3298947,14038084.4394313,11771238.2754386,11777653.5296798,10266842.3091118,12812936.4669277,10966639.626799,15152710.3698773,14062878.6866118,13776420.8939061,11248952.3805755,10756005.8648425,12201595.5654356,13881143.5135054,13902848.4991746,13349972.5093607,11883098.3448443
2048,13178397.294778,10797086.8503282,16404087.0415731,11879428.8429553,10817222.7456039,12674620.3456695,16404087.0415731,12549314.9944848,15060744.0788854,11366015.5454415,10898945.2961351,15890681.0263033,14758464.3276381,12360306.3940596,12341298.1563899,10797086.8503282,13449275.1622651,11485240.6297963,15910247.8350917,14783939.0681278,14450091.9618489,11818713.6168461,11314614.913923,12822566.9613253,14568552.7466314,14586936.598368,13991770.3082707,12479766.9214874
