"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2036,2125772609.00147,1689769298.62172,2731047568.06605,1898480447.47328,1694374894.11747,1966722071.17728,2731047568.06605,2051682271.07394,2456895546.24885,1838238949.62567,1736618635.41027,2539890641.67902,2341081509.04004,1982515244.61968,2101387740.29374,1689769298.62172,2199671994.68998,1964785121.43789,2544029555.01171,2347648928.97095,2374257351.00775,1884517981.23327,1747397683.17181,1988985914.08552,2360347335.38608,2382659689.82595,2344648393.00317,1976660459.76573
2037,2229053543.76826,1771154829.85696,2872107903.56789,1989902091.91579,1776084880.28975,2059733539.52419,2872107903.56789,2150328025.16424,2579900543.42464,1927265614.64283,1815516273.39652,2664915579.59896,2456927149.41061,2078125206.4596,2204690864.4253,1771154829.85696,2307967532.30657,2060344703.89956,2669485764.48374,2463932438.07447,2490308744.45007,1974892912.58001,1828028587.67407,2081636510.93314,2474180330.93847,2498950827.95092,2459752958.47815,2070204780.75999
2038,2327986098.60988,1849098420.64964,3008156562.83719,2077411214.09431,1854341827.93942,2148580254.8052,3008156562.83719,2244390533.22476,2698137667.13526,2012353517.72703,1890531398.04181,2784948601.82537,2568647302.64885,2169688638.30158,2303491253.3295,1849098420.64964,2411962990.24935,2151705311.96464,2789950505.97119,2576073040.94598,2601396476.48636,2061375172.47809,1904958732.06525,2169826199.81233,2583145097.40928,2610260724.5166,2569822611.05154,2159398409.73654
2039,2422647362.58589,1923609486.11214,3139309662.40035,2160983234.31884,1929158441.46795,2233338568.24386,3139309662.40035,2333906234.49072,2811609230.56476,2093552044.2826,1961730769.97323,2900018968.02434,2676592565.99939,2257291505.65219,2397895657.64568,1923609486.11214,2511754332.41414,2238918004.07789,2905449985.05573,2684406530.9607,2707632547.55664,2143945325.23549,1978245745.29788,2253649828.4265,2687336623.74584,2716683907.44877,2674892062.943,2244272802.30862
2040,2543552825.93426,2025021541.54191,3293840117.98956,2271068631.10222,2030884139.13295,2347580275.53829,3293840117.98956,2452223563.17578,2951623900.15326,2202044994.10416,2063032079.60373,3041692723.2425,2810791033.29628,2370001115.57797,2512537523.13593,2025021541.54191,2635659318.53837,2345723342.11303,3047560843.16764,2819008251.76675,2837323763.58073,2253024428.92442,2082701853.56386,2365609809.63116,2816894900.10405,2847269717.11795,2805559592.42027,2360143189.83375
2041,2630444749.14421,2093295133.37978,3416077627.53096,2347495801.95715,2099452675.26415,2424938563.29709,3416077627.53096,2533401835.2766,3056334227.20405,2276258148.20302,2127424907.74414,3147781315.22062,2911727079.28524,2450344250.36538,2598883500.38804,2093295133.37978,2727819442.15281,2425315065.33929,3154067331.40452,2920313516.08554,2934630123.46219,2328488865.87748,2149552807.97855,2441584481.2061,2912386624.23054,2944896790.71853,2901450239.45613,2437198375.57744
2042,2713490948.53358,2158421146.0395,3533983093.33096,2420293536.65782,2164862774.70695,2498589621.34182,3533983093.33096,2610355285.18541,3156766756.43079,2346999510.24492,2188376076.23244,3249505433.23898,3009171712.52691,2527088896.30263,2681368444.73995,2158421146.0395,2816242545.2113,2501184469.3905,3256200668.192,3018105671.42156,3027593571.34471,2400353556.4943,2213033328.1055,2513714170.52746,3003607349.65058,3038300081.39262,2992841810.3423,2510314204.28751
2043,2792906294.51828,2220572877.28472,3647798380.71347,2489600050.7299,2227291425.91985,2568732406.73507,3647798380.71347,2683287710.74244,3253103471.46956,2414450934.35412,2246051599.41082,3347142758.79077,3103406598.83909,2600423521.48307,2760238376.23524,2220572877.28472,2901097939.24022,2573537182.08014,3354237369.93972,3112664886.14694,3116534641.04614,2468765110.32413,2273315958.9052,2582239825.67225,3090787155.75123,3127735062.84105,3079956134.2583,2579685984.04344
2044,2868927381.36836,2279957763.15816,3757854842.94232,2555620074.2338,2286942111.57175,2635590060.69454,3757854842.94232,2752427081.24856,3345591002.64159,2478806845.31005,2300633763.13927,3440999287.95569,3194723954.35439,2670558380.15216,2835745842.31113,2279957763.15816,2982500616.6177,2642606525.08347,3448482185.16817,3204296816.05902,3201755752.48981,2533925877.39988,2330549913.40552,2647426099.05475,3174188149.88197,3213479756.94312,3162994346.8297,2645527485.5624
2045,2969729371.03721,2364561069.19366,3890211653.63368,2646538072.64362,2371818191.97145,2730180731.91638,3890211653.63368,2848633306.86405,3463130059.27307,2568945517.28781,2383460183.3493,3560171399.684,3310985958.11235,2764296321.88246,2930584858.91664,2364561069.19366,3086625806.90565,2730251864.76113,3568042756.81013,3320874566.96085,3309352144.21991,2623982036.5268,2416913974.1257,2739268889.48727,3281596191.75387,3322154722.71299,3270176216.07028,2740477780.86722
