0.034843,0.98779,0.01,0.99
0.011323,0.9825,0.01,0.99
0.038175,0.96026,0.01,0.99
0.010833,0.94732,0.01,0.99
0.028963,0.98887,0.01,0.99
0.010637,0.95487,0.01,0.99
0.013283,0.95291,0.01,0.99
0.011911,0.98476,0.01,0.99
0.064733,0.97652,0.01,0.99
0.042291,0.98672,0.01,0.99
0.016615,0.98133,0.01,0.99
0.012009,0.89842,0.01,0.99
0.020535,0.95722,0.01,0.99
0.023867,0.97172,0.01,0.99
0.032785,0.96418,0.01,0.99
0.011715,0.96722,0.01,0.99
1.8298,58.908,0.5,60
1.3657,57.778,0.5,60
0.89567,59.872,0.5,60
0.73503,57.677,0.5,60
0.77668,54.279,0.5,60
0.68148,59.319,0.5,60
0.71122,58.974,0.5,60
1.0801,57.474,0.5,60
0.022789,0.93115,0.01,0.99
0.012107,0.94673,0.01,0.99
0.016125,0.96966,0.01,0.99
0.013479,0.93605,0.01,0.99
0.012107,0.96271,0.01,0.99
0.013773,0.97946,0.01,0.99
0.010049,0.96349,0.01,0.99
0.010931,0.98436,0.01,0.99
0.012107,0.96516,0.01,0.99
0.031413,0.98221,0.01,0.99
0.015733,0.96957,0.01,0.99
0.012891,0.98907,0.01,0.99
0.047975,0.9875,0.01,0.99
0.019653,0.94105,0.01,0.99
0.015733,0.9728,0.01,0.99
0.010833,0.96947,0.01,0.99
0.51487,59.723,0.5,60
2.8532,57.325,0.5,60
0.72908,58.087,0.5,60
0.58627,55.172,0.5,60
0.75287,55.659,0.5,60
0.61603,58.117,0.5,60
0.63982,58.468,0.5,60
0.76477,59.682,0.5,60
0.13031,0.84641,0.11,0.85
0.1095,0.99941,0.1,1
0.10203,0.96179,0.1,1
0.11103,0.96386,0.1,1
0.12237,0.98879,0.1,1
0.10356,0.98375,0.1,1
0.11958,0.99996,0.1,1
1.5385,88.082,1,90
1.1646,89.88,1,90
1.6986,88.839,1,90
1.752,88.616,1,90
1.1558,89.479,1,90
1.6363,86.516,1,90
2.295,88.652,1,90
1.1736,85.777,1,90
5.8015,87.495,1,90
3.5588,85.982,1,90
1.129,87.263,1,90
2.108,89.791,1,90
2.7043,89.524,1,90
3.3362,85.937,1,90
0.013087,0.97956,0.01,0.99
0.030139,0.96722,0.01,0.99
0.015341,0.95154,0.01,0.99
0.023573,0.973,0.01,0.99
0.022593,0.93458,0.01,0.99
0.013577,0.98907,0.01,0.99
0.053365,0.95761,0.01,0.99
0.055423,0.94732,0.01,0.99
0.040429,0.9826,0.01,0.99
0.011225,0.97094,0.01,0.99
0.035137,0.9677,0.01,0.99
0.032981,0.98779,0.01,0.99
0.016811,0.97045,0.01,0.99
0.054933,0.96918,0.01,0.99
0.029355,0.98956,0.01,0.99
0.013871,0.98789,0.01,0.99
0.033177,0.97515,0.01,0.99
0.012401,0.97329,0.01,0.99
0.022299,0.98319,0.01,0.99
0.029943,0.98936,0.01,0.99
0.028375,0.97035,0.01,0.99
0.016125,0.97898,0.01,0.99
0.012205,0.92223,0.01,0.99
0.026611,0.9827,0.01,0.99
0.022789,0.98642,0.01,0.99
0.013381,0.98878,0.01,0.99
0.052385,0.97006,0.01,0.99
0.016125,0.98103,0.01,0.99
1.049,88.474,1,90
4.0483,89.996,1,90
2.1437,89.613,1,90
3.0336,89.462,1,90
1.6898,89.301,1,90
1.2982,84.584,1,90
4.3241,89.275,1,90
1.2181,87.263,1,90
1.3872,88.741,1,90
2.2593,85.448,1,90
2.2683,84.424,1,90
3.1315,88.865,1,90
1.4672,83.935,1,90
5.4099,87.628,1,90
0.016615,0.96339,0.01,0.99
0.037293,0.98142,0.01,0.99
0.026219,0.96937,0.01,0.99
0.056795,0.98838,0.01,0.99
0.032295,0.98534,0.01,0.99
0.016811,0.958,0.01,0.99
0.050131,0.9825,0.01,0.99
0.023769,0.98956,0.01,0.99
0.012303,0.90371,0.01,0.99
0.023573,0.95349,0.01,0.99
0.018967,0.9679,0.01,0.99
0.020045,0.95526,0.01,0.99
0.033569,0.98025,0.01,0.99
0.019849,0.98172,0.01,0.99
0.037979,0.98995,0.01,0.99
0.099425,0.98672,0.01,0.99
0.014263,0.91988,0.01,0.99
0.022789,0.98299,0.01,0.99
0.055815,0.98417,0.01,0.99
0.017497,0.95712,0.01,0.99
0.067869,0.98985,0.01,0.99
0.050817,0.93429,0.01,0.99
0.010931,0.97711,0.01,0.99
0.025239,0.95457,0.01,0.99
0.027493,0.98917,0.01,0.99
0.018869,0.97731,0.01,0.99
0.011911,0.98309,0.01,0.99
0.021711,0.98897,0.01,0.99
0.0044466,0.99406,0.001,1
0.50592,0.99738,0.5,1
0.035627,0.98858,0.01,0.99
0.020535,0.97907,0.01,0.99
0.019849,0.98035,0.01,0.99
0.050425,0.96584,0.01,0.99
0.15088,0.98907,0.01,0.99
2.0116,9.8516,2,10
0.014361,0.96682,0.01,0.99
0.024063,0.98672,0.01,0.99
2.6764,9.9748,2,10
0.50043,1.0032,0.5,1.0101
1.0249,2.3135,1,2.32
