"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"1",2020,13095.960829866,7763.09739122417,19779.8113872206,11630.9631559698,10224.8244310854,11793.4776915239,16568.5256733474,12509.7336945593,14703.7344320391,11147.3445530414,10567.5857519112,15677.0317095867,14469.9912848415,11951.7964033881,12890.2593194765,10210.6417525958,13746.9680697565,12232.3466062764,15682.1074010232,14487.2545779984,14516.1443063466,11595.6592829908,10660.4131372606,12082.4463685023,14681.9488508096,14750.8271444751,14155.8114676918,12077.1741874833
"2",2021,34106.8726181228,20094.0688445734,51912.3893733075,30272.1073359674,26637.2362620201,30822.4768537575,43062.4327223516,32686.0233567998,38357.5546241047,29032.3208650447,27544.5707647992,40912.8802943593,37692.903583632,31061.7560321538,33250.9203132879,26600.8441274497,35659.821790821,31458.3080787924,40927.8837479117,37736.898923185,37696.0527309762,30182.1011936411,27900.0425614998,31581.2477698455,38250.3968625472,38362.2490764795,36833.4741270343,31613.2604466938
"3",2022,40665.057150534,23798.3818431271,62463.885041611,36045.4157571818,31774.9470313267,36816.4425531016,51319.0794011298,39123.7910313185,45907.3580460334,34652.8229674985,32755.6076203643,48910.7077296377,44991.3278230678,36894.1344719771,39282.5342512407,31732.9559927829,42311.9417329622,36982.4206736499,48929.3304674394,45041.8685677198,44834.2848020757,35941.470641807,33395.7375022821,37788.1049565328,45617.1158311754,45664.7482106365,43857.1924961099,37869.7157363499
"4",2023,41476.4708283037,23999.1905339412,64357.2074107752,36751.1894752018,32424.1943553427,37603.6256904143,52363.7663319153,40063.1222420012,47013.5464155333,35415.596713346,33322.4635897947,49979.3034800534,45944.4374753981,37472.3295653931,39735.9797323775,32382.151900609,42962.0458796098,37193.6638356858,49998.4552467589,45987.3515475412,45604.2365155648,36648.3799709268,34189.9336504533,38660.2008373268,46489.7905043934,46492.4885405202,44655.3720509358,38772.9994051048
"5",2024,40368.3012935887,23127.297013045,63113.3246790213,35812.7614086475,31627.9990789079,36678.2432515216,50851.1430040817,39060.5377484254,45802.4195544148,34501.2153292542,32449.0400540936,48647.7062068212,44761.4880563528,36378.0263874538,38310.8676849525,31587.8732709784,41666.8286615341,35753.9126110044,48667.576893772,44801.9662270994,44276.1240794821,35715.022487446,33440.191514502,37774.5802139714,45282.8106109654,45179.3660800618,43345.8573333509,37840.0328392498
"6",2025,38777.349136648,22024.8664434088,60988.9033307756,34452.8774974486,30479.9494238731,35301.7328552833,48675.2987402409,37505.1717006692,44026.4914323737,33137.8240007829,31218.4119508328,46723.9478571785,43068.0741261657,34868.0602407762,36448.5225105927,30441.5322270603,39899.1305998006,33971.9667022734,46744.2388816898,43106.6389303357,42447.6178686816,34360.8719961425,32289.3331379956,36439.2888393621,43548.6728433523,43325.0633704893,41472.5757323803,36418.8167712767
"7",2026,37123.1557270146,20946.647234293,58714.5914297997,33033.5755516493,29286.7460727742,33859.504009872,46442.29744803,35865.7642850286,42177.0538447315,31724.9662761087,29929.0801767818,44719.2286210724,41317.0976643759,33320.8599142789,34593.281050399,29250.1699933625,38074.1740039666,32187.5678486203,44737.6676058978,41353.8753777636,40553.0445881253,32947.4563283154,31079.8297749403,35021.6892625519,41724.6781365408,41381.5326770472,39527.11544754,34908.8884582349
"8",2027,35524.8242120323,19927.1983582241,56460.6774666574,31668.3952031246,28141.4973972162,32465.1169543608,44287.1883210398,34267.8629739062,40373.892823311,30362.4639990246,28681.3059992953,42773.076894956,39639.5959604571,31833.6600113466,32833.180575725,28106.6131577004,36325.2628997958,30498.9476107849,42793.7418007746,39673.2657200688,38720.3487008973,31587.9509913393,29914.8374859324,33641.6648681062,39946.9106827066,39500.6334968787,37632.6903883387,33437.5088827893
"9",2028,34015.7973944524,18984.1600932369,54275.8179162499,30392.5301046627,27060.1795724647,31145.5304431422,42242.4510254349,32742.3899085591,38658.8201664402,29078.8780307914,27506.0033596394,40928.9004478975,38072.3206052743,30437.0118509285,31191.7906572657,27026.8829891854,34688.602519905,28927.3550364164,40948.913309775,38104.1311696056,36991.181580783,30317.056464111,28823.7738552762,32332.9576367362,38255.4025050889,37726.6689968702,35828.5036014812,32038.8343405156
"10",2029,32603.3115371812,18117.8750177929,52189.0971991009,29212.5213158365,26045.7954547126,29906.6114639989,40323.6581679459,31297.2372165401,37036.206567362,27880.5790284834,26409.0753764181,39194.0580388486,36627.3427471835,29131.5326094451,29666.1826693877,26013.9873331199,33171.1472892764,27474.6091950228,39214.6613780027,36657.0857036184,35376.5203880561,29142.8326148158,27813.0520356861,31103.4312703028,36659.071005429,36066.3703981505,34122.5175594999,30722.1404716896
"11",2030,31286.2161487201,17324.6272227348,50209.1013110283,28126.506521999,25095.9562108064,28752.1380981305,38530.8155791613,29938.4218267114,35508.3960503927,26770.3706688811,25390.1664834067,37568.7086366145,35299.8501897532,27912.7096072752,28252.4685169047,25066.3306439073,31770.9421456248,26131.0915403153,37588.2204612119,35327.5355261393,33869.8717069057,28061.3142794768,26876.3547637474,29956.7117664743,35153.3723209662,34523.8571349499,32513.7937857089,29491.6410084449
"12",2031,30060.4056254903,16594.8866943478,48340.9146882286,27128.7324991214,24207.1856646639,27683.4075427604,36861.6326490643,28669.4815249924,34075.6163449699,25745.5779549516,24440.8358254192,36046.8205878942,34079.9462434443,26780.3871933093,26944.777227751,24179.0955885573,30479.9823251513,24884.5264102464,36064.3892661442,34105.6714631299,32462.5763506485,27067.8399071833,26010.1891966539,28891.5463452268,33738.9345084431,33094.3841154882,31000.3360524461,28343.7353437264
"13",2032,28922.3521515728,15923.1556498981,46585.9854336881,26211.3714130172,23382.7914986627,26694.3564143408,35311.6270740852,27487.9187374419,32736.7703265488,24800.0147080314,23557.2302197034,34620.9260433865,32960.5982235901,25736.5067387871,25737.7573768736,23354.4313661955,29291.8948651524,23729.7184994185,34640.3639380569,32984.4987160904,31151.7342865752,26154.4355608172,25211.7627148312,27901.4624552477,32418.6809619918,31770.0221883153,29581.7462054583,27274.4368635019
