1980,2117709.12672082,2110419.27421902,2121665.02494519,2117040.79661533,2119432.62999179,2116722.17844631,2117938.73364349,2121665.02494519,2120566.98431693,2120827.54130573,2120877.9575849,2120403.673033,2119957.54293002,2116955.16331388,2112889.80035062,2117362.6330298,2117539.43321699,2118457.73809519,2110419.27421902,2118741.84035099,2118033.33829319,2115329.00176425,2117668.31873513,2121663.86367023,2112813.48252147,2114947.60221201,2119719.95271682,2114753.66271827
1981,2165632.53544967,2158051.68292308,2169742.18129165,2164933.23845333,2167427.05415789,2164619.06654775,2165888.59163914,2169742.18129165,2168588.85832362,2168868.84059356,2168927.11438382,2168448.34650862,2167970.563146,2164850.29287425,2160648.24232307,2165270.19202398,2165460.84644962,2166414.72434086,2158051.68292308,2166680.25762288,2165949.81070892,2163149.72177668,2165584.44691792,2169739.0638437,2160535.23721073,2162785.31654572,2167691.93577456,2162587.75986047
1982,2215137.36092256,2207282.80224778,2219397.90036795,2214401.50465171,2216995.9662796,2214100.27919869,2215440.1696307,2219397.90036795,2218189.01293269,2218488.37347191,2218555.25192088,2218080.0960341,2217564.24412675,2214331.03050167,2209992.38024716,2214756.31955362,2214959.57229071,2215933.27758819,2207282.80224778,2216210.91026068,2215443.62861973,2212536.54450604,2215072.46038911,2219393.17765158,2209840.69719824,2212223.38976986,2217242.03388204,2212002.99974273
1983,2266262.32358032,2258166.2800165,2270675.5623282,2265488.89790661,2268168.34664473,2265179.89755028,2266645.00487863,2270675.5623282,2269402.03066966,2269729.46734505,2269796.87935435,2269349.92585894,2268782.30217498,2265445.42013793,2260962.53975176,2265860.66282498,2266075.84853773,2266985.15864554,2258166.2800165,2267389.00491821,2266554.47290144,2263509.40729608,2266175.50308911,2270660.76624537,2260777.95128678,2263317.92168355,2268410.01373817,2263048.82372345
1984,2319010.28461355,2310731.30489705,2323594.3017082,2318214.19917562,2320930.79680907,2317797.88517635,2319526.3431772,2323594.3017082,2322223.83216083,2322611.13508591,2322647.87357963,2322290.73904532,2321643.92052361,2318217.03755443,2313564.09838948,2318591.11872137,2318814.222749,2319398.0272739,2310731.30489705,2320251.45773756,2319290.30240338,2316036.06298965,2318910.35150021,2323537.81734986,2313370.37009354,2316105.85400215,2321204.00879879,2315754.05443658
1985,2373334.58567356,2364973.34434703,2378145.61632719,2372568.43255573,2375209.37132078,2371774.02409387,2374065.6945442,2378145.61632719,2376594.15490901,2377124.71018749,2377047.93048914,2376917.04780702,2376139.38680655,2372639.762806,2367751.82967177,2372912.62524515,2373129.69350104,2372779.14710117,2364973.34434703,2374815.26110777,2373616.11665181,2370005.91720526,2373263.61308433,2377964.17977174,2367611.54095268,2370600.53580196,2375589.2475156,2370125.45803477
1986,2428701.67956761,2420420.28161832,2433864.42911924,2428086.60936921,2430422.34314213,2426346.85133189,2429761.13551586,2433864.42911924,2431947.55065802,2432805.05790871,2432431.55543208,2432800.8725357,2431800.50564139,2428247.0412519,2422986.58388434,2428307.07924064,2428485.32875689,2426087.75992643,2420420.28161832,2430651.1221918,2429013.85274391,2424772.73274363,2428761.05205716,2433374.44327531,2423035.07865206,2426363.03816921,2431047.68655131,2425721.99747319
1987,2484557.34722875,2476596.92502429,2490299.42365684,2484317.47618847,2485933.40935177,2480653.92439787,2486086.61846378,2490299.42365684,2487660.56952723,2489200.75962719,2488175.18660506,2489547.53393117,2488169.49904977,2484580.63922873,2478689.93075791,2484228.55424549,2484313.93549031,2478192.64388647,2476596.92502429,2487357.02010283,2484937.57844764,2479596.27283543,2484935.67200359,2489145.17736377,2479182.98763016,2482971.35626648,2487033.46503212,2482127.12160429
1988,2540499.74827497,2528144.35743888,2547182.60050144,2540992.68139711,2541216.84723992,2533962.91348665,2542663.46847758,2547182.60050144,2543205.05816403,2546043.57396815,2543750.44979495,2546970.25350696,2544967.16338797,2541363.44134038,2534409.64366172,2540259.62992909,2540194.84539724,2528144.35743888,2533198.3967412,2544732.68712195,2540969.82730806,2533801.13920234,2541497.07595339,2544748.25071822,2535778.18501901,2540191.05155534,2543129.38617822,2539120.77938436
1989,2595985.31493087,2574958.13996713,2604783.53252396,2597718.45464506,2595568.70715252,2585449.42876106,2598975.30105761,2604120.54202991,2597844.77094067,2602939.7756594,2598420.67456532,2604783.53252396,2601783.70542467,2598202.395505,2589529.81397861,2595800.4160208,2595571.93186599,2574958.13996713,2589801.11652825,2602477.76718491,2596510.59903442,2586491.69686563,2598027.05252882,2599447.26056777,2592427.82113475,2597672.66752855,2598735.74069657,2596373.56110423
