1925,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011,740423.385306011
1926,756750.581352185,756750.578736157,756750.583561478,756750.581681998,756750.582310692,756750.583100397,756750.582291992,756750.581404118,756750.582550343,756750.583047251,756750.581593406,756750.579361797,756750.580293992,756750.578736157,756750.580384928,756750.582991811,756750.579654297,756750.582962945,756750.581456012,756750.579376669,756750.580137796,756750.582225313,756750.583561478,756750.579724506,756750.581407279,756750.579997173,756750.58239127,756750.581160991
1927,773873.671983238,773873.619189586,773873.719536337,773873.677451579,773873.693717979,773873.707757568,773873.694390808,773873.674968963,773873.700148728,773873.711018442,773873.679341443,773873.623567957,773873.6479938,773873.619189586,773873.642784637,773873.70781783,773873.636474228,773873.709085913,773873.67022323,773873.637274005,773873.6412402,773873.688342825,773873.719536337,773873.641644582,773873.673486419,773873.64448175,773873.695018716,773873.662623436
1928,791739.250259072,791738.973650828,791739.498499877,791739.273222227,791739.373407065,791739.424324943,791739.375286521,791739.281786471,791739.416365821,791739.473729266,791739.3040304,791738.973650828,791739.123445255,791738.984201675,791739.03886782,791739.443187813,791739.071473461,791739.45804252,791739.215929045,791739.105071364,791739.069968198,791739.325108355,791739.498499877,791739.118629641,791739.255140656,791739.105997703,791739.379110615,791739.167999252
1929,810189.691706692,810188.818922489,810190.4268615,810189.747405946,810190.092869689,810190.159443022,810190.078528176,810189.849400478,810190.256659551,810190.4268615,810189.909105946,810188.818922489,810189.325698621,810188.917575411,810188.857078391,810190.284477952,810189.183917501,810190.350404456,810189.500840661,810189.363456783,810189.112004793,810189.882759438,810190.424056603,810189.38959684,810189.684030251,810189.238277737,810190.113357375,810189.325937693
1930,829037.590185167,829035.247873533,829039.389979295,829037.688149781,829038.56149654,829038.488465766,829038.461794318,829038.112358399,829039.02018283,829039.389979295,829038.221127874,829035.59917819,829036.839815955,829035.904927092,829035.247873533,829038.936550746,829036.527606122,829039.126978602,829036.941963866,829037.093495696,829036.247799788,829037.935949218,829039.179434419,829037.143739389,829037.492540654,829036.495053002,829038.63237138,829036.465796729
1931,848106.186927191,848100.90305932,848109.85790337,848106.319775237,848108.143374473,848107.557558471,848107.801356664,848107.523259448,848109.196481413,848109.85790337,848107.666233329,848102.486008732,848104.967480547,848103.112456646,848100.90305932,848108.717601024,848104.341823234,848109.147191298,848104.520285152,848105.696784968,848103.658091457,848106.666252873,848109.036865154,848105.814358964,848105.797418132,848103.937309309,848108.354697281,848103.449553275
1932,867248.803604412,867238.55001076,867255.420506258,867248.934586124,867252.28233962,867250.534872911,867251.423873704,867251.675791029,867254.384309333,867255.420506258,867251.793011219,867242.833817836,867247.160117806,867243.816667854,867238.55001076,867252.979660756,867245.970296233,867253.8035549,867245.223565774,867248.706316681,867244.669119832,867249.296990601,867253.294597661,867248.997344964,867247.725417272,867244.671183803,867252.811019467,867243.131137912
1933,886355.721428719,886337.881762442,886366.631141862,886355.773098545,886361.376508646,886357.515524686,886359.590403502,886361.168241235,886365.156101479,886366.631141862,886361.13854376,886347.054077662,886353.886244899,886348.276610248,886337.881762442,886361.985534228,886351.723491398,886363.393240427,886348.937901897,886356.642348892,886349.627554521,886355.978117815,886362.170426927,886357.308988028,886353.29563536,886348.73565764,886362.514466337,886345.274095536
1934,905353.915237928,905325.325822795,905370.731934624,905353.761082954,905362.510204079,905355.279346511,905359.237097058,905363.320819697,905368.778582733,905370.731934624,905362.949595785,905342.333106311,905352.349362287,905343.461108148,905325.325822795,905362.648156575,905348.599144302,905364.855151546,905342.193811513,905356.726500172,905345.622551338,905353.527327637,905362.552438054,905358.098361422,905349.163263397,905342.84597565,905364.684044147,905336.326159463
1935,924203.051745905,924160.062301404,924227.644888133,924202.511270639,924215.451568262,924203.306666438,924209.97962943,924218.15838312,924225.199673489,924227.644888133,924217.169585735,924188.610145005,924202.469818413,924189.041168453,924160.062301404,924214.538363111,924196.271974316,924217.779687942,924184.174977594,924208.864315775,924192.469693081,924201.434986234,924214.011941714,924211.426222763,924194.630336938,924186.400529517,924219.232340075,924175.453180036
1936,942889.85166068,942828.394846013,942924.328431669,942888.688453431,942907.014867711,942888.151411815,942898.480376131,942912.759392131,942921.401820626,942924.328431669,942910.791525751,942872.919739845,942891.2324463,942871.747417657,942828.394846013,942904.258089194,942881.45221056,942908.787202048,942861.089346242,942899.995884537,942877.059474532,942886.23198867,942903.176674807,942904.411142432,942876.020916789,942865.850516024,942913.118423851,942848.928918236
1937,961422.065252977,961337.727805149,961468.748894667,961419.987167488,961445.036605636,961417.422277587,961432.427937657,961455.221011392,961465.37134315,961468.748894667,961451.826504555,961403.350048534,961426.650343967,961399.342051225,961337.727805149,961439.426693285,961411.861684356,961445.520671581,961380.152583333,961438.063534484,961407.32115627,961415.470089876,961437.713657481,961445.192544928,961400.669043929,961388.682040023,961454.316051518,961364.12958235
1938,979822.765307897,979710.856548263,979884.170702604,979819.425928962,979852.669185115,979814.077435605,979834.833222486,979868.944155136,979880.387461486,979884.170702604,979863.591429689,979803.321663275,979832.048789391,979794.909097246,979710.856548263,979842.983207432,979810.530303779,979850.953424809,979763.888324646,979846.299882747,979806.506205154,979812.018854869,979840.626147046,979857.214252958,979791.222806336,979777.714791895,979866.101122646,979743.837753867
