"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"1",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2021,67335.5357723571,55367.1328709442,77902.2715055048,60118.2212080322,53801.1620713044,63482.9795768242,83105.7048626784,62401.9778016526,75546.0316149648,56755.61860626,56808.6070795786,79212.6033138782,73190.4734777026,64784.4910145327,67454.5189420637,53674.7907300144,69838.3520341385,65144.9985538498,79265.5685407612,73358.8307771105,76219.8999464512,59759.1871187296,55169.2374824975,64109.1692616306,75101.0262003131,75062.230931323,73397.9981314428,60834.9905976485
"3",2022,199643.004727267,169970.333475947,220996.319535434,178291.376813643,159418.545856483,188563.425324261,246886.767886341,185644.008777488,224427.808917869,168519.99867535,168209.551307011,235480.05821836,217492.73577477,191813.007420499,199500.249424372,159035.779534549,206606.043783277,191928.62536538,235633.14045883,217998.703017123,225860.466269255,177204.532125786,164060.861367717,190570.179576728,222609.919982541,222649.419013001,217570.184563115,181129.519256242
"4",2023,393154.616293758,341917.575634416,422135.996804729,350811.523664232,313802.048414335,371508.695995726,487256.509800147,366806.050471388,443168.384486079,332345.974684205,330289.584608626,465014.621385157,429141.922096964,377026.463267341,392059.105601087,313034.260303561,406043.217319835,375870.122410979,465327.993961185,430157.207122549,444505.861059226,348649.840518869,323639.272771902,375896.85760051,438286.271651175,438563.065297876,428423.272122506,358043.549772844
"5",2024,642020.476163115,565630.112342767,674908.206590682,572170.798643444,512156.66487956,606547.887191758,797890.101361763,601136.270222664,725971.805737063,543673.757666852,537381.614701062,761506.100693427,701785.586698554,614249.799875528,639250.666899465,510900.444085762,661902.144672643,610573.182443183,762046.554239456,703485.4693911,725090.901946288,568624.265389796,529103.541089624,614148.875831977,715143.90131326,716229.042491205,699752.791275237,586859.966996916
"6",2025,939066.388266571,833700.669461306,972641.789030336,836173.547825664,748782.908596069,886966.738370515,1170042.28758419,882494.832642317,1064589.52589028,796699.535694301,783393.695876762,1116431.46349487,1027532.91931918,896351.265486397,933417.292012397,746942.285316184,966843.788706988,888537.169647209,1117270.99048515,1030061.40348989,1059088.29077188,830966.424326643,774801.570907868,898364.139333196,1045064.27224569,1047662.96003257,1023837.06661323,861387.264323637
"7",2026,1277450.64399082,1139033.1407899,1309248.11954672,1136999.71980805,1018345.9667965,1206429.06357671,1595086.53679366,1204557.24685812,1451175.0079653,1085657.01617758,1062730.11363387,1521615.30425744,1398980.96988248,1216630.28779642,1267177.08205456,1015843.29610173,1313907.26593129,1202740.38961843,1522829.52760214,1402451.19388758,1438484.64260348,1129894.19651299,1055315.72833561,1222040.74871605,1420422.31060901,1425223.78846084,1393017.7164664,1175541.40584683
"8",2027,1651316.08716907,1475542.01573104,1679567.99996205,1469630.14956319,1316342.27768742,1559573.60881058,2065520.70054313,1561729.4678245,1878933.60554239,1405592.2588139,1370698.69323326,1970068.57956702,1809806.76572881,1569430.29806832,1634252.63152675,1313113.79008982,1697017.37807552,1547233.39060897,1971736.99877415,1814308.88044248,1856517.52833844,1460424.79771665,1365969.91283195,1579735.47337743,1834675.95839407,1842299.89141916,1800681.17810126,1524105.12721987
"9",2028,2055828.50949773,1838245.37686872,2079340.35585716,1829923.36311799,1639087.74389094,1941997.67289723,2575049.57261784,1949303.74589344,2342161.76162152,1752418.82043736,1703446.83997589,2455989.86713427,2254798.05503125,1950134.8379847,2029430.4699732,1635082.24512777,2111224.65966934,1917158.40145051,2458159.50952411,2260401.89338089,2307642.35967644,1818444.13514581,1702925.9648928,1967020.25967303,2282487.44042361,2293489.59470719,2241276.96123669,1902746.28618126
"10",2029,2487051.43757095,2223090.19536077,2505052.84531865,2214488.33588701,1983695.12137654,2350172.66346473,3118506.77577367,2363388.65717584,2836140.92478172,2122780.85196202,2057860.97865823,2974599.48973679,2729727.52743385,2355019.14552803,2448445.95708268,1978872.78348938,2552525.85318811,2308579.02665548,2977325.68286177,2736484.70964711,2787320.967879,2200601.73029505,2063073.07151262,2380339.74644144,2759513.56648717,2774369.76890079,2710217.68544582,2307873.34275348
"11",2030,2941811.28367186,2626764.62991342,2953831.30326831,2620563.55756231,2347912.42752931,2781312.13041221,3691664.70020398,2800812.40531953,3357088.41180362,2513946.3045105,2431449.48591606,3522040.84268598,3231134.82361235,2781153.5557557,2887925.96960279,2342243.46166864,3017646.61817562,2718346.64657838,3525367.76337031,3239078.64178542,3291855.78577657,2604162.71420836,2443902.11938304,2816840.01579383,3262310.81235828,3281346.68288991,3203800.48853415,2736540.25417438
"12",2031,3417549.57295327,3046717.29669785,3423279.08419214,3045892.72453304,2729994.23077162,3233147.48841186,4291079.07126018,3258946.40442623,3901978.54417081,2923659.81642196,2822194.22726603,4095220.67666675,3756203.19449705,3226273.10004012,3345183.65861894,2723446.00903678,3503896.45393165,3144022.91227337,4099203.07828672,3765350.82980382,3818330.50950481,3026897.86612943,2843412.40433957,3274192.10986322,3788159.2223575,3811413.47603406,3719051.14628971,3186277.2863474
"13",2032,3912189.24266617,3481001.19818614,3911391.59100015,3488625.59172291,3128565.64020988,3703782.08175421,4913942.70179628,3735553.62958096,4468378.03235292,3350068.54560959,3228463.50370021,4691677.3414797,4302660.99964722,3688538.84571236,3818092.18899462,3121123.64217795,4009082.21772079,3583725.27047187,4696361.96301299,4313015.76716243,4364417.93304734,3466982.16366753,3259983.883607,3750465.65116937,4334795.93637896,4362065.80243419,4253561.59864011,3655015.53545997
"14",2033,4424009.23749802,3928086.57666957,4416467.64133804,3947243.17960437,3542422.80468498,4191662.75209191,5557930.69369182,4228748.14557886,5054301.19873685,3791638.34010503,3648906.07419375,5309412.30481163,4868656.61034882,4166391.04501036,4304946.95421816,3534092.75122237,4531381.73482871,4035965.83850352,5314825.14779876,4880210.46905251,4928224.59567748,3922918.96020709,3692277.36448486,4244030.92836072,4900247.5983496,4931215.89185448,4805337.68190995,4140999.29702389
