"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"28",2047,134412461.429546,104831612.202218,171805581.699629,129663345.55472,119775569.395408,128910551.459991,168104567.273996,119987472.308603,152747764.983775,121487003.559235,104831612.202218,155846138.349146,171469382.85136,125646867.124348,119921419.720615,119480542.694646,139605560.582099,107295742.400293,156207889.400613,171805581.699629,135431844.093474,128789954.071808,125178837.997203,126371491.801168,137381018.380828,143174413.361951,126189792.853286,125007171.61825
"29",2048,127523901.542279,98984504.6234074,164778938.71427,123486219.006637,114292149.391226,122330506.944725,159700354.489293,112996136.574054,144866450.794977,115647640.121261,98984504.6234074,147569712.048293,164458146.972723,119194315.227735,113444806.618002,114009845.675978,132569931.319065,101093370.165865,147917597.961542,164778938.71427,127698734.362662,122652536.871922,119346800.907271,119616970.360005,129482872.657539,135362407.36472,118322342.683052,118274246.700747
"30",2049,121002759.798739,93447670.1783775,158077663.272016,117610341.697268,109086144.220423,116079873.299354,151760027.716647,106392780.844816,137411183.22748,110104587.02114,93447670.1783775,139758462.26667,157771285.708651,113078323.062805,107352435.974677,108816658.610811,125893017.819438,95261560.0314115,140092424.807041,158077663.272016,120414974.914277,116814988.871679,113791027.068682,113228795.934527,122031248.490183,127973951.827207,110921170.130885,111898397.972006
"31",2050,158626290.904704,123613593.945973,194921502.995548,155949843.930292,147670698.228197,158408922.664357,184608993.274153,148302427.333369,175220949.86545,149921121.304418,137139075.623455,177534591.015355,194608314.867946,148899361.266148,136834742.328859,147390301.779141,160042018.443194,123613593.945973,177873810.498885,194921502.995548,153948560.332478,155124275.270965,158775642.660339,153826365.522182,158075470.699989,162357822.50671,147826158.336576,156782707.923622
"32",2051,108982289.7926,83240537.2125826,145571243.752172,106713442.0521,99429558.5622217,104505445.238761,137175989.517268,94275324.4707005,123698839.731292,99845372.8925326,83240537.2125826,125429478.470343,145291194.910012,101772219.253699,96234229.4240468,99184293.7746044,113542016.848734,84622331.8269098,125735779.576056,145571243.752172,107100408.273466,105990851.726383,103456972.854473,101457463.718669,108356125.782977,114371145.166564,97407896.5108989,100149083.267524
"33",2052,103445395.328982,78540922.2168372,139734614.309704,101667005.316161,94947463.410197,99150961.193359,130486165.426208,88727198.3219844,117402465.171429,95099096.2824943,78540922.2168372,118854396.317072,139466683.926163,96548193.3459022,91165982.1397649,94713232.9616873,107835059.568968,79766627.9976607,119147133.405996,139734614.309704,101023530.144322,100978913.864507,98655624.3803217,96036188.5351481,102086396.956388,108115063.014901,91242408.3432188,94743556.6741462
"34",2053,98201061.9600314,74091419.2137682,134157489.607195,96872122.8724234,90678745.9140116,94066361.520087,124167206.787257,83498007.2559182,111454119.004793,90590886.4230749,74091419.2137682,112636766.592673,133901090.08111,91591207.8149506,86394620.0614655,90454937.927749,102420749.787876,75192419.4959373,112916163.702703,134157489.607195,95304173.3276129,96217180.874398,94084098.2849138,90899745.3961076,96166999.863537,102197948.406519,85441855.4976909,89630233.2870154
"35",2054,93233318.2116861,69879868.2389838,128825966.6396,92316913.8999588,86612107.2357553,89238991.8916959,118194444.994845,78572177.8448899,105834993.920111,86309122.6116266,69879868.2389838,106755104.642043,128580573.57244,86887379.7554488,81899147.6509215,86398324.6703016,97285542.1485489,70881989.3442877,107021424.965676,128825966.6396,89919170.4226155,91693772.3467822,89732624.7392537,86031714.6064597,90577116.5183586,96603057.8251606,79986614.3224155,84794810.4839712
"36",2055,127926374.271342,97217439.2410318,162590697.514218,127518045.631861,121835964.613598,128080264.167675,148821469.747556,117325818.009767,140876780.851969,122863137.650906,109981066.769797,141822902.683045,162337782.290708,119825393.781302,109327479.185619,121610785.375905,128785850.057379,97217439.2410318,142093247.522852,162590697.514218,121168541.046708,126865458.685079,130863486.001782,123390455.36987,124044131.748778,128472205.848507,114361402.012391,126079550.975255
"37",2056,84069293.1725509,62126807.3228248,118852892.263477,83879517.8332198,79046301.9269262,80311711.9868389,107193078.45916,69567525.2300778,95511082.9965346,78383630.9743173,62126807.3228248,95922448.9430513,118628136.46873,78189590.1564142,73665043.1956347,78851257.7014643,87794029.3605452,62990909.1780514,96163003.2693692,118852892.263477,80065299.8638689,83316053.119083,81649412.1167846,77046995.9474706,80317837.8842288,86316829.2846473,70039690.5855751,75903243.2454776
"38",2057,79845142.5774943,58563800.7301631,114190688.5556,79972534.998558,75528094.5815205,76190073.205149,102118511.040151,65456827.9600104,90771472.8358194,74719191.8261464,58563800.7301631,90935530.9769116,113975631.624163,74172169.3610612,69895322.6509611,75341960.1628436,83411480.180294,59382834.5193122,91163748.0851647,114190688.5556,75553774.1802691,79436819.4916812,77897319.5465739,72904834.3159693,75616683.044998,81595303.8535477,65514609.5834244,71819347.127066
"39",2058,75842134.5065098,55196272.2360121,109731699.745455,76253878.1402081,72174856.6427722,72281204.2232669,97301645.3354445,61587271.2352684,86291535.0715849,71240453.2678887,55196272.2360121,86213612.6922331,109525980.496188,70361596.1343619,66338216.6309754,71997093.7437169,79254895.3648502,55982691.415097,86429903.4176661,109731699.745455,71294470.1090419,75744926.6708684,74326405.9514073,68981570.7957261,71181727.9969087,77135114.2162212,61267442.3399223,67958898.7896587
"40",2059,72048198.4384874,52014903.0743122,105464537.647224,72713381.1107748,68978209.0869979,68573540.5380256,92725749.2247522,57945338.488817,82055897.7288114,67938224.0116929,52014903.0743122,81742378.854631,105267807.847323,66747962.7248129,62978930.7910258,68808582.7826665,75312052.390563,52778802.3177162,81947058.2373204,105464537.647224,67272011.1446151,72229860.7618002,70928717.1996106,65266372.3890006,66999523.5830395,72922193.0647859,57283174.0297721,64309751.9320942
"41",2060,103638584.591048,76891780.0837743,136033483.264982,104636584.7664,100784097.652324,103835586.910748,120780107.822856,93342067.1897191,114104827.229084,101118818.029242,88423032.1974351,113829529.477315,135829446.445048,96694184.7999364,88088101.7123817,100603174.441221,104015784.919145,76891780.0837743,114037553.489406,136033483.264982,95920188.8484966,104124178.866408,108138569.109206,99237533.1211782,97667022.3915616,102092783.7904,88888550.748615,101847627.469304
