"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"24",2043,49991.2261004727,25178.1857786288,83009.791845638,50760.4573192421,45660.1746664989,48758.1832885108,60349.6740090799,40175.5651320863,56818.22309866,46123.5145699696,37395.3403203403,56887.0408565349,69127.0295309091,46184.3898462508,41649.9060524042,45636.4264906309,49879.7934974582,34654.4142451063,56891.1143421268,69147.7576837955,47965.9463114079,50717.1997007365,49731.4288979912,48040.2778115666,47318.2148316145,49766.6278899114,38955.2278777307,43732.5335223595
"25",2044,49601.5938607729,24850.1731285164,83272.2060998915,50609.4569928113,45484.4214065155,48370.3033367851,59839.5324218539,39598.3505631331,56331.1963786131,45892.15531532,36974.0839735799,56289.6716944888,69138.9686964118,45815.2159011869,41267.9430695202,45458.6698887507,49538.0594428129,34174.0930888339,56293.9236449,69161.0578515194,47316.0305935645,50564.3871852305,49583.1627875763,47605.4936991496,46650.633997134,49231.6773585596,38138.0187094928,43278.4099477973
"26",2045,49197.4264225692,24516.1098494191,83486.8850840307,50426.0062925011,45284.0013644954,47963.7392756184,59311.8796564856,39024.5520023505,55827.5256274675,45651.1635298006,36538.3424027256,55679.5674399624,69113.1908848684,45436.5881830031,40882.9843766859,45260.4337215739,49178.2315023911,33690.6636024441,55683.9750734568,69136.6300662775,46657.7420294004,50381.240572303,49409.9298580063,47160.536090951,45975.1829269595,48690.6332561051,37328.760578561,42819.8702290726
"27",2046,48780.4410799041,24180.6463146196,83658.3195863475,50215.2381336633,45062.0377027575,47538.2287610919,58771.8019799856,38452.2280191974,55311.9033192363,45396.7496903935,36095.1425712528,55059.0434550458,69053.26119714,45038.9039169237,40496.4778706279,45040.2165965673,48798.7873907747,33207.3042812617,55064.1757294013,69077.9206606483,45994.6843567288,50167.6042740961,49220.2295136275,46706.9448733264,45295.0815558104,48144.672653873,36526.8030163824,42360.4769032127
"28",2047,48352.3030236754,23842.6218906985,83789.0841174529,49978.6280136254,44823.0967243421,47097.86237478,58220.4129491693,37885.2128006937,54787.5287506591,45129.0093389001,35643.1428261252,54428.0953273686,68961.0760936382,44631.0823001253,40106.1953057088,44802.1173334975,48404.6436591214,32726.8748484646,54432.563865187,68986.7425119118,45329.7828657359,49928.9147099936,49006.4484470538,46246.1287923793,44612.882895125,47592.3150690829,35730.4360523632,41901.928172541
"29",2048,47916.5149493317,23500.0030684732,83877.1919275432,49718.8205484595,44571.2339370999,46646.4124184133,57662.2922611317,37325.4736537176,54263.6424669799,44852.588653918,35179.8003681463,53788.4095418796,68841.622350587,44213.0928393965,39721.9090406523,44550.542390484,47997.639754354,32252.4093843107,53793.0126796709,68868.8262160252,44667.923824802,49668.0319413744,48774.0139456911,45779.6634194836,43931.0239945108,47034.5685572413,34943.4360367329,41442.2986482071
"30",2049,47475.1528328727,23155.1309268298,83851.011370943,49437.3965860167,44310.9751465353,46188.3447477193,57104.2621741632,36775.8776056154,53728.2078852968,44568.2179598935,34709.0182401456,53142.6809528459,68697.6862005113,43787.2520091973,39342.1929563303,44290.2608486598,47583.3976808047,31783.2638938976,53147.4210705285,68724.5780045543,44011.9189730801,49387.0423113045,48523.1969566447,45309.1996510949,43252.5301890292,46475.7601188918,34171.2481805928,40983.0930306085
"31",2050,47028.8270076413,22809.8352231291,83794.1412250555,49131.4375008417,44041.5340450047,45723.7306675395,56545.2645827454,36232.2668435905,53192.2213614276,44279.0554369899,34233.8267424509,52495.2826616688,68532.3939791311,43354.4399167081,38964.0452097358,44020.6749444397,47162.291604829,31319.8356174919,52500.1569424385,68560.5443547503,43359.0852702551,49079.7993342996,48258.9033485009,44831.5778715815,42577.9246644137,45914.6544051841,33414.1395612372,40523.6121783605
"32",2051,46579.9576078745,22466.0175215427,83716.7852401743,48803.7260589183,43763.7947389595,45254.8080873276,55997.864141587,35695.0234041192,52656.5193816929,43988.8232664899,33757.2899508835,51850.8487810944,68349.498352667,42918.1998624873,38588.5784693547,43742.7547660918,46736.554482735,30862.8291498909,51855.8432603362,68377.3272676884,42712.2161697537,48752.414084988,47983.7529944329,44347.944990007,41904.9902588914,45349.6787785312,32672.1799711046,40065.5077382707
"33",2052,46128.4797062426,22123.4247945707,83619.1590857282,48459.1282290324,43481.402032464,44782.5931633952,55446.6293627725,35165.7544134849,52120.4696702871,43696.6282270624,33279.3842850497,51210.6649392085,68147.1095071131,42480.4778748112,38216.8734845552,43460.1804948668,46306.2746342977,30412.2616938304,51215.7612242476,68175.4234849399,42070.6548227022,48406.9787931898,47696.0553825729,43862.0309764392,41235.7714567956,44780.4319878977,31941.3459699617,39606.9278987286
"34",2053,45676.2896739311,21783.0533129345,83504.0650390647,48099.9489156958,43194.4742920751,44309.0396411055,54908.1063894327,34644.6725653793,51587.6491591498,43402.216408163,32801.8386470134,50574.8970051521,67928.1844477027,42040.933948958,37846.1810703664,43173.0906145055,45869.4399312196,29969.0330822804,50580.0788665603,67956.7927486131,41434.3974826631,48047.5146689176,47400.8137996838,43375.1430155933,40573.8268975874,44207.9789670185,31224.5763047121,39149.7772099647
"35",2054,45224.8046057941,21444.9345455164,83375.40237558,47729.164025121,42904.9547223488,43837.0087222653,54369.0088414041,34132.8573662598,51061.3404405166,43107.6488995773,32324.9598071633,49945.7244951384,67696.4330824496,41603.0817496547,37479.5595337669,42883.4327921985,45425.7467263317,29533.7732310163,49950.9794255408,67725.1009074232,40805.436540514,47675.9534323229,47099.3902389689,42890.6836984603,39918.9331658006,43638.8523960249,30520.761713868,38695.5913748728
"36",2055,44775.9586396348,21109.4399928095,83235.4015860415,47348.5485780985,42614.9900217279,43365.8590328347,53834.2298872937,33629.6846025547,50542.5083783778,42814.3356018774,31849.5389406943,49323.3760935055,67460.0136604018,41167.5826974288,37118.7732382293,42593.3524020001,44978.4519214282,29106.8497676237,49328.6924224792,67488.7754724995,40183.4789054782,47294.600908237,46794.8444599584,42408.1715582836,39270.7119209121,43075.9114710972,29831.0106464985,38246.6657885453
"37",2056,44330.6078151873,20778.8799422629,83091.781733208,46957.9834001743,42323.7137159163,42896.1624360225,53307.374162224,33135.566309258,50032.3016731731,42523.5604983371,31379.2845834241,48708.5567648186,67218.5469046412,40736.3899780443,36764.1390267045,42302.2462405034,44531.2319655378,28688.4053945269,48713.9227997967,67247.6105601221,39567.4719515542,46903.89053316,46488.0438720407,41930.8209743605,38629.4544765633,42518.7136971947,29156.7230557965,37804.4465561481
"38",2057,43888.5821389668,20452.6627322772,82939.5505801388,46562.9609038668,42031.723395482,42430.2834631185,52786.8515513924,32649.9432193197,49525.3722959113,42234.2125640179,30913.5073385048,48102.1645646732,66968.4560498662,40308.7153433971,36414.7239840424,42009.6250146092,44088.5224804557,28278.4156169425,48107.5685222515,66997.5396702617,38960.2976027306,46508.3984173158,46181.327689429,41455.2212290089,37996.1386971699,41964.7298837596,28495.8440287711,37367.3175423039
"39",2058,43451.8833611819,20132.5601074865,82782.6991387433,46164.8907358902,41740.5096897612,41969.0985253238,52282.237427241,32175.402642508,49028.0839414513,41949.6266685246,30455.1054851467,47504.3781765075,66713.0563668137,39884.4500964042,36073.4977179689,41718.3241920082,43652.1290336008,27876.7296146653,47509.8085578681,66741.9585045813,38362.3426809828,46110.2159012849,45874.9069849497,40983.5028500801,37371.0776757648,41414.4253581737,27848.7957152954,36934.4717951616
"40",2059,43020.8806327828,19815.8389468356,82625.357420871,45766.8212532371,41450.9919019504,41514.4533812409,51790.4730334841,31710.2118436169,48538.3102972363,41668.6217013934,30000.2757589927,46915.8296832485,66455.7598730876,39464.7448115376,35736.6638886554,41428.8672858506,43219.4415569229,27483.5094105178,46921.2749204687,66484.380650085,37773.7827430519,45712.7660727007,45570.6569673583,40515.7650889674,36755.8277720769,40869.9899461233,27217.0116327514,36507.952423509
"41",2060,42595.9837059696,19503.7465576546,82469.7484982493,45366.8294975688,41164.6356002543,41066.0299593011,51310.3502716471,31251.8611964206,48060.5292543097,41391.8988419764,29551.0642381855,46337.00931872,66198.5031734963,39051.3620664496,35408.517698997,41142.5760468169,42786.946083851,27097.7862904655,46342.4579300897,66226.7942717683,37195.9158113667,45312.1682936355,45269.0205533861,40055.1436159789,36149.6467955883,40331.1488660125,26600.8597698155,36086.3686254301
